_id,Yil,Ilce,ilce_kodu,Erkek ve 0-4,Erkek ve 5-9,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadin ve 0-4,Kadin ve 5-9,Kadin ve 10-14,Kadin ve 15-19,Kadin ve 20-24,Kadin ve 25-29,Kadin ve 30-34,Kadin ve 35-39,Kadin ve 40-44,Kadin ve 45-49,Kadin ve 50-54,Kadin ve 55-59,Kadin ve 60-64,Kadin ve 65-69,Kadin ve 70-74,Kadin ve 75-79,Kadin ve 80-84,Kadin ve 85-89,Kadin ve 90+
1,2007,Adalar,1103,236,293,314,395,576,473,422,406,383,394,364,318,250,197,150,123,60,39,19,262,250,268,299,322,424,404,408,358,382,367,287,277,208,193,137,123,43,36
2,2007,Avcılar,2003,12458,13222,13157,13647,13730,18458,16318,13275,11645,10132,8711,6489,4091,2676,1887,1222,614,210,190,11848,12406,12490,12723,15736,17765,14963,12831,11664,10180,8647,6539,4205,3094,2384,1876,1219,473,421
3,2007,Bağcılar,2004,34607,37663,35723,34430,28730,41713,36585,29782,25058,19169,14797,10319,6242,3805,2519,1653,846,335,404,32631,35065,33739,31459,35778,40425,33711,26173,22547,17379,14715,10468,6555,4626,3311,2897,1758,756,894
4,2007,Bahçelievler,2005,21638,23380,23962,24233,22535,31775,28338,23765,20513,17887,14971,11279,7204,4902,3387,2293,983,386,374,20990,22313,22746,22963,26690,31752,27377,23055,20535,17609,15403,11253,7521,5781,4454,3595,2197,867,805
5,2007,Bakırköy,1166,4956,5151,5966,7118,9099,9155,8223,7642,7677,7956,7607,6480,4898,3551,2866,2135,1370,407,208,4588,5016,5714,6578,7940,10042,9215,9156,9012,8956,8399,6765,5417,4446,3861,3348,2428,926,549
6,2007,Bayrampaşa,1886,9879,11087,11412,11339,11380,14691,13258,11935,10588,9289,7764,5582,3320,2515,1988,1246,626,235,161,9454,10189,10877,10276,11963,13435,12309,11121,10036,8504,7288,5124,3713,3099,2460,2028,1122,453,450
7,2007,Beşiktaş,1183,4059,4081,4444,5756,9451,9101,7985,7412,6735,6448,5940,5101,4137,3226,2648,2060,1480,505,281,3801,3748,4226,5142,7749,9875,9342,8430,7781,7371,6869,6016,5021,4173,3599,3244,2518,1080,678
8,2007,Beykoz,1185,8857,9886,10078,9951,10455,12167,11234,10148,9344,8331,6798,4806,3105,2345,1845,1257,611,201,137,8469,9170,9611,9422,10536,12019,10978,9922,8986,7852,6412,4611,3263,2763,2242,1945,1212,474,390
9,2007,Beyoğlu,1186,9243,10030,10212,10381,9959,13377,11977,10690,9403,8042,6690,4799,3043,2361,1838,1317,702,256,260,8575,9644,9738,9430,10868,12809,11256,9884,8890,7574,6258,4580,3381,2914,2441,2050,1321,566,497
10,2007,Büyükçekmece,1782,30047,31693,30472,29541,27079,38681,35301,29281,25480,20749,16557,11706,7525,5006,3532,2152,1119,386,449,28614,29601,28153,26931,32049,38721,33678,27747,23893,19438,15765,11656,7984,5766,4298,3605,2160,953,1006
11,2007,Çatalca,1237,3139,3507,3607,3457,6233,4523,3750,3396,3181,2893,2448,1959,1358,1017,907,649,362,122,70,3045,3433,3543,3249,3430,3919,3424,3206,3147,2726,2319,1810,1371,1210,1122,858,487,163,118
12,2007,Eminönü,1305,1195,1361,1446,2039,2234,2069,1419,1127,1069,887,763,579,407,292,244,170,105,35,44,1183,1221,1272,1496,2087,1328,1095,953,858,803,707,503,379,316,293,276,159,81,62
13,2007,Esenler,2016,24716,27310,25901,24096,23129,29606,26217,22314,18768,13883,10438,6981,4109,2865,1892,1179,529,197,242,23358,25615,24589,22014,24175,28199,24632,19654,16314,12473,9963,7059,4556,3476,2481,2040,1209,517,539
14,2007,Eyüp,1325,12714,14068,14334,13286,13086,17223,15941,14081,12657,10446,8838,6221,3995,2614,2004,1332,662,229,195,11825,13120,13073,12475,14136,17151,15404,13473,12086,9835,8217,6108,4083,3307,2646,2318,1367,526,456
15,2007,Fatih,1327,12925,14603,15102,16449,18369,22616,18857,16106,14499,13317,12251,9992,7069,5526,4478,3225,1738,558,406,12225,13606,14475,15074,19081,20801,18201,16103,15093,13992,12732,10399,8288,7199,6283,5365,3634,1317,987
16,2007,Gaziosmanpaşa,1336,48557,52568,50522,47890,38521,56451,50763,41201,35123,27926,22588,15549,9579,6007,4329,2790,1424,506,548,45584,49843,46562,43058,48347,55273,46095,36512,32277,25758,21760,15632,9980,7457,5684,4857,3002,1259,1266
17,2007,Güngören,2010,12089,12871,13248,13769,12896,17321,15296,13232,11634,10296,8495,6355,4099,2837,2067,1322,676,174,146,11570,12042,12580,12609,14467,17039,15144,12602,11746,10148,8617,6301,4367,3464,2670,2122,1369,474,391
18,2007,Kadıköy,1421,18993,20025,21572,23973,25368,33674,32243,28873,25882,24700,23531,19929,16050,12059,9629,7290,4854,1742,955,17996,18824,20688,22775,29401,36054,34715,31075,29099,28165,26764,23064,19187,15291,13240,11724,9274,3698,2294
19,2007,Kağıthane,1810,17185,18299,18269,17739,17915,24105,21772,19189,16509,12690,9618,6291,3982,3009,2343,1586,736,214,217,16331,17606,16968,16140,19155,23227,20887,17582,15148,11389,9044,6535,4625,3993,2890,2570,1440,476,555
20,2007,Kartal,1449,21904,23309,23025,22624,21860,29308,27176,22863,20297,17003,13694,9931,6712,4686,3298,2160,1133,380,308,20621,21954,21772,20729,23327,28973,26142,22149,19831,15970,13600,10178,7003,5626,4031,3615,2300,891,826
21,2007,Küçükçekmece,1823,34852,38007,36825,35199,29940,43177,39577,33592,28697,22978,17824,12554,8066,5340,3925,2521,1225,458,413,33089,35695,34453,32335,36291,43279,37512,30773,26753,21113,17286,12972,8663,6540,5039,4167,2379,926,957
